Golden State Warriors,Stephen Curry,PG,35,188,83.9,51.916
Golden State Warriors,Usman Garuba,PF,21,203,103.9,2.588
Golden State Warriors,Rudy Gay,SF,37,203,113.4,6.479
Golden State Warriors,Draymond Green,PF,33,198,104.3,22.321
Golden State Warriors,Trayce Jackson-Davis,F,23,206,111.1,1.120
Golden State Warriors,Cory Joseph,PG,32,191,90.7,2.020
Golden State Warriors,Jonathan Kuminga,PF,21,201,102.1,6.013
Golden State Warriors,Kevon Looney,F,27,206,100.7,7.500
Golden State Warriors,Moses Moody,SG,21,196,95.7,3.918
Golden State Warriors,Chris Paul,PG,38,183,79.4,30.800
Golden State Warriors,Gary Payton II,SG,30,188,88.5,8.715
Golden State Warriors,Brandin Podziemski,G,20,193,92.1,3.352
Golden State Warriors,Dario Saric,PF,29,208,102.1,2.020
Golden State Warriors,Klay Thompson,SG,33,198,99.8,43.219
Golden State Warriors,Andrew Wiggins,SF,28,201,89.4,24.330